ProteinAccession,GN,ProteinDescription,b1_s13_M_3,b2_s2_M_3,b2_s10_M_3,b3_s16_M_3,b1_s4_M_6,b2_s15_M_6,b3_s1_M_6,b3_s15_M_6,b1_s9_M_12,b1_s16_M_12,b2_s14_M_12,b3_s9_M_12,b1_s11_M_18,b2_s3_M_18,b2_s9_M_18,b3_s5_M_18,b1_s15_M_24,b2_s5_M_24,b3_s3_M_24,b3_s6_M_24,b1_s1_M_30,b1_s2_M_30,b2_s13_M_30,b3_s7_M_30,b1_s12_F_3,b2_s7_F_3,b2_s16_F_3,b3_s14_F_3,b1_s5_F_6,b2_s11_F_6,b3_s10_F_6,b3_s13_F_6,b1_s6_F_12,b1_s8_F_12,b2_s6_F_12,b3_s4_F_12,b1_s14_F_18,b2_s1_F_18,b2_s4_F_18,b3_s8_F_18,b1_s3_F_24,b2_s12_F_24,b3_s2_F_24,b3_s11_F_24,b1_s7_F_30,b1_s10_F_30,b2_s8_F_30,b3_s12_F_30
Q7TQF7,Amph,Amphiphysin OS=Mus musculus GN=Amph PE=1 SV=1,1980284.224,1049136.623,528155.2667,1278059.992,795133.8527,990485.5667,782178.3747,1361814.792,595904.7644,1174984.755,707530.9197,2721629.119,1703893.942,641260.1893,771284.8067,586559.4113,823994.7837,764940.2157,738638.2797,1082953.672,738786.4737,650696.2726,702041.7537,923453.8067,807647.7687,818652.1787,686331.115,1097002.829,729767.4907,872006.2827,849461.3467,1335470.372,2447206.424,772769.3567,713116.7417,727429.9397,822827.7597,815595.3417,839224.1017,1689482.717,674397.0594,907624.1107,767087.7987,1031697.205,765504.6167,686133.9863,859491.1997,1182315.329
Q8VCU0,Angel1,Protein angel homolog 1 OS=Mus musculus GN=Angel1 PE=2 SV=2,7968.660869,10437.69126,9721.236449,6638.202029,9511.118559,10802.09972,9871.710229,6635.986169,9810.344609,12194.4083,10369.17253,6193.063459,7238.037649,11789.54254,11285.99237,9452.838609,11587.302,9169.642909,9498.771349,8272.117999,9732.887199,8657.257269,10190.6521,7263.011639,9747.693689,8459.526869,10288.80098,8344.154219,11427.97471,7154.815399,7832.531739,7390.311389,8646.492239,7958.044579,10808.68567,8906.302269,10808.52129,9474.459599,12431.51635,6728.184439,12303.72494,9576.280649,7624.954719,9763.706319,11977.11094,12398.99632,10477.19623,7994.467149
Q02357,Ank1,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=2,21330.33879,14866.55043,16070.19973,21835.71638,17267.14556,19718.11741,17917.19855,18417.25585,15431.02675,19768.55535,20192.43126,28945.09738,21391.12507,17304.80381,18207.19828,17106.03475,19479.84224,17397.91788,20369.66807,22110.99733,16852.73618,18181.74532,16673.50115,19785.50411,16749.31791,18061.42975,15661.01595,22269.69652,19739.61745,18972.7753,17765.22247,25516.85756,30314.26567,17225.30891,15568.35,16312.63159,21591.95546,14394.24575,14680.38243,29917.29114,14878.14472,16737.00499,15998.09109,20773.95708,19173.15395,13958.46923,17825.02612,22177.17939
Q8C8R3,Ank2,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2,49822.21734,34734.5734,43088.0501,48510.37322,47525.90075,28497.08864,32312.68742,32103.58809,28362.44317,47870.78204,36482.43933,67296.15818,34445.18219,28414.65256,33996.7538,31853.18904,35288.13827,27875.27531,36421.32641,44928.56986,40359.16938,29770.65079,28994.60972,36771.94821,30659.30874,38349.82323,25258.63283,44151.64506,33554.15657,37580.90864,34047.39841,55888.36562,80409.4386,34866.15017,29155.32542,25993.10559,42500.6322,23928.57715,31850.24523,73847.4332,33162.28385,39134.81543,29295.97719,43647.42987,37393.83344,36410.28933,34490.09689,46916.28632
G5E8K5,Ank3,Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1,96702.35319,82072.32829,106573.2706,97886.45699,96436.54259,83334.59829,72007.77289,78319.03659,85032.53879,98374.23599,80708.33269,123583.699,92555.23759,70823.89409,83540.07839,89019.50559,84934.53029,68531.74899,80058.08229,93625.94189,91428.72209,83006.80829,75955.33979,96840.62909,83577.42439,78265.94679,64329.13869,99534.47769,88969.05249,79780.65469,79464.60049,103559.9417,134924.508,91461.98999,75856.22719,70039.49319,91994.57289,64051.71939,78182.35539,125858.6243,93315.20549,83354.42119,72915.68599,85250.70929,87769.92079,86736.07669,83759.88959,95102.54169
Q9JHZ2,Ankh,Progressive ankylosis protein OS=Mus musculus GN=Ankh PE=2 SV=1,134365.4038,172621.9911,163936.9795,164596.8258,235194.6997,189940.6366,194635.6818,148238.4166,247685.0352,207733.7625,214535.5043,139689.0987,140473.2,224828.2515,173005.8987,147244.0337,180268.9067,194187.2917,191394.2846,177374.2287,192464.9526,243905.6106,211772.2666,165186.7622,210811.5191,190358.8319,225075.3189,150225.3603,203974.9868,243560.8653,196030.8555,168890.9012,158042.8305,189246.4166,220149.9603,172053.4654,195757.4624,187979.7297,171860.9108,169222.1827,245371.86,182142.6585,157030.1313,163311.3898,175783.9066,177405.9104,184190.4203,145028.2832
Q6ZPS6,Ankib1,Ankyrin repeat and IBR domain-containing protein 1 OS=Mus musculus GN=Ankib1 PE=1 SV=2,19166.8122,21063.81227,17713.29826,22538.45976,15502.2115,22890.50458,19895.83982,21795.60981,18361.04243,21313.53078,22792.34322,24602.62183,19373.47853,18685.58216,19962.32828,15082.91207,16328.43802,18667.38492,21258.60499,20303.07133,15755.47661,15619.55749,21205.79698,18524.97754,17276.37718,25346.28254,20336.6902,19470.14195,17062.56754,24039.12687,20199.84683,24115.87358,16640.82684,18505.45164,18539.68508,21312.65088,18640.60907,18541.13533,21208.83108,22645.80868,18568.59456,21342.88034,22757.68374,18295.66268,14417.59289,15860.71515,19419.12397,19023.52824
Q6P1H6,Ankle2,Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus GN=Ankle2 PE=2 SV=2,31619.23003,37822.77035,42261.59103,45580.57877,39489.14699,43956.93132,43601.44736,45967.23291,46814.02105,46951.99755,43596.69394,43658.99117,37261.87936,41876.82742,47449.34238,53933.24631,56367.12444,44051.66717,45869.33063,49583.03119,54579.81284,41852.53643,43202.27312,52137.8747,43737.53135,39500.17178,39205.53509,41704.92246,38430.87816,42885.0605,46441.58306,44417.32871,33767.45844,39848.07583,49038.9339,45397.94291,44782.54026,45438.15709,54703.34155,43039.41066,45381.21309,48867.78987,50113.50592,49648.28345,59912.53743,39257.14576,49788.22565,45844.12031
Q3TPE9,Ankmy2,Ankyrin repeat and MYND domain-containing protein 2 OS=Mus musculus GN=Ankmy2 PE=1 SV=1,15090.86693,11770.51545,1576.179699,9578.866838,6780.876118,3834.685909,4045.551297,7592.834398,5158.397995,6919.214228,4374.538495,10588.36216,12041.51427,4034.695252,3505.572497,2066.341316,9733.798808,4767.988453,5126.892972,7268.038418,9676.020978,3852.062205,2359.449956,3971.831131,5468.050483,4087.00141,2161.265474,7391.973228,7782.898088,5331.793752,6270.500578,7394.223258,14457.90812,5133.618476,4028.292872,3050.902566,8996.324658,2998.049455,4751.910414,10920.73964,4509.84126,2652.827448,2789.60221,8754.083248,6630.517528,4937.897653,7208.631118,11422.89801
Q80UP5,Ankrd13a,Ankyrin repeat domain-containing protein 13A OS=Mus musculus GN=Ankrd13a PE=1 SV=2,6223.345278,2265.283219,2125.827773,3529.746642,9865.91118,3194.424462,3084.442529,4537.336395,7269.43968,5658.844829,4348.562657,3778.239213,6374.840366,3212.582957,3928.330678,2084.162676,8187.77471,3117.090633,3188.352613,4559.851235,4847.622926,7907.94525,4666.738396,3283.773351,4914.752958,1913.406379,3146.188465,3281.786045,9539.83181,3172.784458,4106.445262,3196.329212,8900.79169,8796.25854,3597.128189,4087.205503,6052.530036,2562.017051,2131.390964,3644.378515,8096.07412,3715.371044,1553.268933,5019.306107,8922.34954,11268.72459,4906.126317,4022.432813
Q3UX43,Ankrd13c,Ankyrin repeat domain-containing protein 13C OS=Mus musculus GN=Ankrd13c PE=2 SV=2,28198.64059,23376.69004,23887.21846,20752.63359,36981.10894,19233.85889,27821.10466,20034.97484,29354.98213,32806.35985,19555.51932,17561.44801,23935.90424,28552.94014,31676.13195,23009.84002,33171.63003,25953.80027,27529.35087,30128.03207,40144.02353,35877.54073,27461.18784,22928.37325,32267.73333,29807.51165,27899.90571,24429.44072,35434.26785,21927.75613,24430.97704,22457.3432,28835.98198,37938.95749,23931.64738,28539.94417,35150.10395,23947.93455,24773.32101,27467.74467,38543.49967,27097.16493,39290.89067,26763.59509,42858.51122,37096.08993,28468.23202,23989.36234
Q6PD24,Ankrd13d,Ankyrin repeat domain-containing protein 13D OS=Mus musculus GN=Ankrd13d PE=2 SV=2,11698.46362,9390.007858,7456.804878,12407.4637,8528.046458,6499.517928,11716.55095,10702.06916,8576.523968,7409.673168,7718.504768,14380.47777,10093.47495,8463.449608,9905.152158,8812.378108,10181.02925,9065.670678,12037.27138,11938.85994,11019.83127,8992.753888,8297.990728,12138.89576,9346.743308,7836.207768,9864.517878,12789.30233,8531.978658,7370.936798,11626.87626,12683.33443,10870.38122,7389.097378,7600.583838,12827.7921,7831.921268,8824.232208,8561.023008,13458.21411,8119.135108,8170.084838,11590.94693,13243.04334,6402.106278,9980.293938,9388.340018,13225.59158
Q3UMR0,Ankrd27,Ankyrin repeat domain-containing protein 27 OS=Mus musculus GN=Ankrd27 PE=1 SV=2,59615.55982,64100.92349,60484.23128,62869.7094,66824.06045,78821.2871,90648.28633,86998.49609,50637.56589,54072.83814,66112.41645,49795.31637,69299.28805,59993.93856,62219.67873,68602.13597,57983.90686,77646.53327,63772.84668,68500.6903,54331.01408,62420.69711,69671.55665,72401.52553,79808.85602,53790.94851,65796.32676,76826.79181,57516.52562,57280.20641,90304.78413,68499.44138,50088.98808,63366.87048,61694.04152,85012.79823,57208.01593,76701.14346,64485.38871,64040.49248,60626.146,71319.58216,61938.36748,69468.3482,62127.08505,64468.70659,56854.23237,78208.65798
Q3U0L2,Ankrd33b,Ankyrin repeat domain-containing protein 33B OS=Mus musculus GN=Ankrd33b PE=2 SV=1,58507.68824,75623.00765,58353.79511,61529.68723,61328.31628,44925.91351,68239.65784,38321.09086,56283.0745,57299.2049,60526.97546,37206.00615,46092.819,55901.26817,54538.40073,54723.09303,72616.77179,56387.04353,67675.90666,47556.14487,63516.10401,58702.74756,57985.33218,48734.01505,64514.14465,63839.9162,76610.29544,64944.78248,58339.49988,51554.92666,68232.72815,48897.18892,34302.80184,64296.78737,56693.28403,59521.45786,68372.35699,67270.776,69654.99734,49940.94277,60361.34592,54296.57573,60809.46203,66527.44804,63781.7304,58868.66542,61192.97979,64333.91738
A2ARS0,Ankrd63,Ankyrin repeat domain-containing protein 63 OS=Mus musculus GN=Ankrd63 PE=3 SV=1,827362.6849,1291407.772,1246196.904,1008406.243,1290744.428,899301.6219,1333402.069,965105.9939,983827.3579,1048324.713,1154077.345,765967.5406,878064.3849,1276672.872,1381001.033,1143846.901,1387959.477,1594537.056,1134647.733,1157772.524,1461088.818,1116997.583,1289967.05,988226.1309,1185508.772,1331388.62,1389803.654,965312.0319,1094401.174,1212505.826,1352224.648,995515.1899,803831.7446,1313452.853,1395683.375,1500725.24,1207386.748,1497449.779,1745015.529,927692.7499,1208980.34,1573958.079,1245372.611,1247161.231,1018752.49,1408425.284,1537988.608,1004167.586
Q8BH79,Ano10,Anoctamin-10 OS=Mus musculus GN=Ano10 PE=2 SV=1,10017.22371,8996.737704,11724.42551,9814.907674,17529.71851,13590.9313,11652.44033,11028.58088,21013.98941,10778.30476,13107.86244,9421.098334,10850.00153,12898.22099,11075.95711,11111.40356,14620.97247,9380.761094,12617.42204,14392.60512,18258.35194,18055.02655,13107.8425,14303.71533,15088.54518,9151.502284,9059.992744,12402.83414,10629.09463,11530.14137,15012.88662,11429.41999,12977.24653,13231.58519,14342.19495,10688.89668,12604.85377,9895.052604,10920.10055,11531.83631,15101.14494,11406.47965,12502.74511,10447.04061,13277.94877,13710.45719,11820.22829,13125.85753
Q6PB70,Ano8,Anoctamin-8 OS=Mus musculus GN=Ano8 PE=2 SV=3,54620.30246,53248.22974,56632.0907,57807.47205,50199.31764,73516.03387,53699.13637,52659.09578,63205.0427,57061.60923,61882.49259,48630.3655,63784.92591,59105.81548,54619.09852,50063.50404,53495.53331,63040.5216,49051.65541,57516.28054,47320.5742,52816.02843,58800.87541,54921.20456,59457.01058,47168.69933,55055.1542,54547.0313,47181.75749,54618.50136,53134.9049,50150.4337,45648.59776,52913.2339,65485.52905,47247.26622,49854.24162,67281.74203,59411.36129,45394.08674,50633.66843,63512.21694,45602.08411,47912.6765,45388.97106,52849.62255,48001.28711,45085.29714
P97449,Anpep,Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4,14279.08646,15941.76678,19855.03219,14385.06661,16994.81955,19827.86664,15664.0965,12980.95031,15988.55952,20934.56907,22324.90755,8740.171278,16698.72821,19878.65042,21133.18358,19308.11362,23848.19096,22292.9459,25338.38416,6368.951108,22491.26224,20567.5985,18355.08751,9943.063218,20591.63107,18814.40698,18768.81229,15862.15827,16885.35976,20598.54826,17618.70332,10601.00748,13002.07665,27441.98015,16252.41978,19100.65298,21762.79551,15657.72206,26653.04133,12932.25559,21714.21734,21610.10415,31016.62669,19120.22059,23001.7111,23297.26192,19538.76405,16396.75587
P48036,Anxa5,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1,1857.453207,4040.850537,17782.05784,8172.384137,16887.46155,8692.604737,5475.265997,7196.495427,9584.341247,8647.988747,8982.262727,5750.475097,6459.790097,17967.15118,11795.50463,8611.364437,9153.617217,9562.423517,7022.069307,12086.0936,14726.02015,16574.7003,16203.17093,11746.28793,7090.603717,9377.625387,11858.56665,9399.895057,11662.90053,25781.48969,10093.00033,8262.914267,11286.1316,15764.85316,9790.768897,7539.919147,13226.71932,9125.956537,6622.267117,20521.42695,6925.820997,10606.62425,6593.221167,5516.423397,8838.064287,6946.254017,17631.11765,8085.484437
E9PYF7,Ap1ar,AP1AR OS=Mus musculus GN=Ap1ar PE=1 SV=1,168611.0616,236122.0773,226164.4279,216619.7027,205814.1072,245259.6381,276111.0286,209939.163,261375.0206,213273.2021,254057.9971,158576.5661,192200.3042,296681.7717,251013.9536,203180.3202,214937.1384,265319.8752,263424.6256,221508.6961,229122.7091,221109.8234,238881.1754,245432.2826,241288.7749,281712.813,313955.5722,198199.1862,185060.2416,265084.6413,257690.2487,193709.966,159328.9994,203372.9295,286035.1203,244549.0172,231171.6112,354524.0396,256883.0152,188518.854,215468.8971,224130.5662,257780.812,195759.0421,185933.9675,181100.3018,245206.0877,173462.5558
O35643,Ap1b1,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=2 SV=2,2122211.075,2832350.008,1075561.645,1439157.033,2764462.528,1407286.342,1964830.913,1297779.049,1647423.261,1814206.441,1784668.786,1594923.904,2117996.567,1772103.936,1123953.408,1637475.94,1355336.823,1507231.942,1672178.541,1530815.822,1270490.066,2990125.098,2546463.682,2267657.302,1635919.163,1758847.607,1621776.414,1903614.175,3165266.454,1862759.027,1847160.662,1851995.834,1454551.905,1855510.55,1536490.339,1527120.598,1597776.15,2095242.697,1582956.004,1859409.791,2166505.349,1385987.312,1669941.615,1531899.819,4000664.035,1819574.252,1140927.955,2993547.149
P22892,Ap1g1,AP-1 complex subunit gamma-1 OS=Mus musculus GN=Ap1g1 PE=1 SV=3,151326.3606,176771.2059,109724.1658,140606.5998,190511.8973,124018.4113,151965.7874,120184.3806,247655.2336,142579.0328,161619.4107,111726.2495,128256.2666,125373.805,103632.1498,114803.1361,168550.71,112289.7798,129568.6427,138296.9833,158373.2598,205654.323,187889.7725,135187.6686,204225.7236,129667.295,182862.3022,161414.1852,168713.0892,183907.7903,196257.2769,139276.5891,128182.4727,154975.5944,179453.688,136021.6604,178664.02,188301.912,114878.8478,141262.9669,147255.9108,113373.4444,97415.28802,153150.3461,149832.2024,185166.931,131430.2377,177007.9902
P35585,Ap1m1,AP-1 complex subunit mu-1 OS=Mus musculus GN=Ap1m1 PE=1 SV=3,150418.3703,188504.9697,141024.6011,134717.6568,152602.72,128731.1411,174106.1567,111603.7366,195316.041,117838.0067,174407.3593,108323.7727,117315.6053,163537.8418,128168.1389,115446.724,150478.5047,161792.9085,145079.0989,124966.2597,155026.1758,172101.3279,164913.3772,129182.2777,147036.8037,161193.636,205021.0433,147585.188,156520.9168,184192.7552,177714.3869,118776.8005,112835.8514,155847.5401,176355.0106,149759.7078,144056.1916,170065.3792,146587.5895,132146.8371,123445.6366,119463.8563,105847.8082,139712.8934,125855.4967,153079.7652,147862.2018,161085.276
Q9WVP1,Ap1m2,AP-1 complex subunit mu-2 OS=Mus musculus GN=Ap1m2 PE=1 SV=3,87171.73371,119912.6997,81572.65611,69745.01611,91804.97801,72851.75201,93001.95301,61748.56905,96551.87011,68171.73941,103755.7393,59829.58956,60726.80372,98324.79991,69361.24281,69626.87601,68253.46011,95404.37181,71750.95541,66704.39451,77618.29311,93732.36061,101477.4839,71378.31241,70566.76551,100587.8792,126362.1766,82343.72471,101296.2253,109850.6367,99080.95771,56192.24094,55188.5107,68400.76401,112195.4691,81320.45641,72937.74471,107534.9416,90611.94101,78989.04131,79642.39011,69518.23271,58165.34055,66792.64091,78776.30081,82057.95841,81008.64151,93319.74201
P61967,Ap1s1,AP-1 complex subunit sigma-1A OS=Mus musculus GN=Ap1s1 PE=1 SV=1,47952.5431,68490.39313,46544.94317,52672.54159,45533.91335,46241.61243,59982.70082,44457.61699,60542.9722,54436.75328,54139.23748,37537.38759,40089.80086,56740.64575,40870.9545,45572.24014,48658.34361,53585.82991,52789.68197,40641.35449,42376.28755,51940.485,50764.16887,48409.25226,47653.25432,61175.04217,71831.63779,50724.82056,44071.12061,61892.77904,53005.0695,42942.27838,40957.69389,52596.15203,49205.39087,54423.42556,49887.86145,82961.10393,53499.56083,39822.73851,41932.52405,49770.15928,45343.39478,46442.51042,45661.43846,53665.45791,43500.33789,47217.41617
Q9DB50,Ap1s2,AP-1 complex subunit sigma-2 OS=Mus musculus GN=Ap1s2 PE=2 SV=1,48253.89835,73169.7883,53209.18453,44862.05522,39032.62214,55336.98269,56950.64471,36716.22117,45752.47416,52218.56132,66074.45889,36213.02471,40567.23726,66605.00689,55184.23289,37657.30488,42296.09503,68981.28679,47171.07442,44101.95477,45414.84162,39079.4234,65614.88443,43980.27889,44178.01605,70636.05393,79955.84576,50341.15612,40126.71788,74505.7074,48830.63406,38399.19032,37860.8025,45816.00268,63395.09706,48857.74005,48866.98737,87592.26984,59987.9918,46418.36558,36465.65699,47076.73394,48384.49443,50298.52934,34536.8714,44428.8265,59024.40141,48740.11997
P17426,Ap2a1,AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 PE=1 SV=1,6198162.014,8273306.31,2908139.363,3801821.34,8524395.236,3923013.696,5804342.945,3474900.368,4249427.77,5275720.337,4757372.959,4318576.595,6355656.746,4873572.924,3122950.156,4626275.357,3787995.734,3993364.308,4588262.738,4042463.025,3351564.783,8998052.465,7275210.031,6713914.285,4742691.632,5122284.112,4463804.455,5246653.117,9811978.005,5024837.033,4856136.063,5129095.427,4040395.338,5663209.709,3977983.106,4192851.042,4547601.885,5476427.898,4333044.482,5057838.132,6660705.667,3788565.955,4990652.114,3909583.438,12326176.16,5070144.607,2896519.288,8751343.612
P17427,Ap2a2,AP-2 complex subunit alpha-2 OS=Mus musculus GN=Ap2a2 PE=1 SV=2,7020666.345,8715338.557,2715920.275,3488911.013,9815646.901,3683022.404,5682275.614,2982397.59,4363675.852,5407447.958,5202268.647,4282116.097,6933723.394,4983869.53,2856910.177,4775895.698,3484424.442,3434733.45,4777806.643,3750433.528,3358859.245,9934614.551,8298055.364,7320250.012,4524974.578,5707277.849,4183117.227,5192986.053,11546178.75,5211867.909,4612593.675,5229125.786,4270187.379,6193212.432,3715473.566,3595356.197,4688145.171,4676651.238,3605668.121,5239869.659,7615971.94,3391480.069,5133325.625,3435715.189,14300628.25,5495354.612,2542111.902,10051606.38
Q9DBG3,Ap2b1,AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=1 SV=1,2921027.907,3902991.086,1350639.922,1651757.142,3874475.606,1797118.252,2556230.456,1509086.342,2182558.5,2409253.096,2310358.664,1970242.678,2914638.387,2346810.4,1406373.413,2203769.899,1688299.165,1768808.137,2134516.665,1814990.727,1689149.813,4011692.431,3571799.09,3184455.15,2127597.741,2452277.068,1975111.745,2401307.661,4456961.68,2408033.214,2211204.81,2369107.9,1942224.194,2612656.117,1843881.657,1787874.263,2104372.301,2465475.204,1875519.976,2312186.736,3085031.275,1682158.612,2277766.988,1712133.352,5347395.826,2508498.414,1294434.125,4132425.619
P84091,Ap2m1,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=1 SV=1,4885255.944,5637437.919,2312538.148,2053965.536,6753069.722,2655444.603,3741962.845,1899838.287,3130455.494,2917244.378,3655167.032,2508516.13,4676542.941,4332887.781,2346625.634,2862589.558,2561102.623,2499683.106,2925441.728,2133926.732,2556901.077,6866093.188,4744945.716,4276168.766,2761443.92,4206293.741,3055179.427,3107803.281,8456200.3,3593893.808,2711869.95,2782974.592,3077819.3,4757126.134,2728694.883,2379968.206,2853945.908,2341088.991,2546551.116,3190597.512,5108245.469,2345695.053,3048610.62,1985992.618,8714209.965,3743249.602,1968891.611,5469049.929
P62743,Ap2s1,AP-2 complex subunit sigma OS=Mus musculus GN=Ap2s1 PE=1 SV=1,1096261.332,2004242.895,832021.118,660122.6266,1081896.685,871176.1896,1151046.021,541220.3128,724860.0111,1005232.593,1096029.534,642928.0109,1008709.459,1543564.285,884937.3776,817168.5469,569516.9599,1062675.257,965755.7606,591689.9191,596903.283,1122335.892,1406830.408,1069121.894,654694.3879,1663289.19,955673.4936,878013.8816,1383713.117,1076329.721,649141.7596,727798.7832,687607.7605,1030181.032,787689.5171,768456.1707,657479.0295,1159545.24,1096767.048,773728.0837,897182.8606,873117.3016,1035920.214,539870.395,1976643.745,915924.4426,680731.1192,1264890.57
Q9Z1T1,Ap3b1,AP-3 complex subunit beta-1 OS=Mus musculus GN=Ap3b1 PE=1 SV=2,234055.2165,272984.3897,194383.7432,282870.8988,216100.3551,245314.962,250337.9378,247345.2069,193755.0843,250336.0842,269838.1761,339195.2399,241022.8335,266640.6031,259262.966,213276.4411,235593.4525,347894.1603,269598.7862,320628.7104,224524.3663,272717.7039,302814.8731,239567.0334,226885.596,219767.8155,232220.3396,266667.5554,199381.9767,292703.9903,295378.1206,335651.2499,298093.4376,218895.5885,272464.0402,300152.2103,233082.0662,320329.1387,294044.9563,396416.4476,254688.9776,299259.8898,310974.6566,293533.4404,283208.3468,272785.3424,346106.0786,351896.9345
Q9JME5,Ap3b2,AP-3 complex subunit beta-2 OS=Mus musculus GN=Ap3b2 PE=1 SV=2,493761.6843,520680.9475,366901.2989,568059.9133,446027.1289,436578.8067,513993.6648,514495.8564,393196.0572,552571.5339,481116.0361,749945.9792,500378.9865,497148.3528,462843.3859,433172.3922,500960.7016,629500.0966,536901.9228,658351.782,416733.0541,515247.9793,548751.671,466987.0125,448192.0309,422585.033,427265.6828,548883.9142,393958.6112,522514.1829,580204.4196,698462.5127,649056.0305,468700.724,482465.2004,584960.598,479256.214,541912.4309,555864.6724,813905.8521,474052.9658,563846.8896,573142.7562,598036.2091,537458.5161,490584.3046,557143.9681,655397.7172
O54774,Ap3d1,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1,389180.484,425594.573,325814.4021,445760.2803,302899.3189,353982.1598,417686.9549,381897.6311,292947.3026,356308.2293,405124.5816,541303.775,347120.4457,400099.1842,391978.3435,343511.4321,337265.2274,453636.03,403933.1664,461051.2459,298026.2039,332948.7734,437690.6157,361084.4103,307778.7871,381427.9409,372110.4903,455747.454,294109.0026,411755.3626,467350.1916,541062.2832,418516.7906,315131.7074,402837.6252,451363.366,318071.0479,431082.3125,459253.3201,592583.1219,313880.4787,447202.5935,438710.0378,463259.1964,341962.1291,347235.6154,456561.8145,520578.7721
Q9JKC8,Ap3m1,AP-3 complex subunit mu-1 OS=Mus musculus GN=Ap3m1 PE=1 SV=1,39109.9345,40795.4618,36302.73969,38773.23181,35200.60566,32651.39305,36650.2463,34668.6963,33982.29217,33191.44075,43244.09509,46754.78852,41007.15915,45595.531,46211.41092,30902.87279,40837.10166,51839.81469,36758.98729,44255.84192,43630.29181,40428.35667,42875.70552,30590.54752,34098.32166,37746.92455,42136.37056,38085.50635,36869.27311,47734.4455,40149.81696,44671.73032,50686.36302,36017.70741,46700.81409,42205.11495,36013.08136,41681.63667,43763.74591,49705.3355,35969.43566,42834.24745,36295.26206,42722.01439,42828.83589,40767.82988,54992.01772,42871.92691
Q8R2R9,Ap3m2,AP-3 complex subunit mu-2 OS=Mus musculus GN=Ap3m2 PE=2 SV=1,129538.4812,135298.6459,97781.02443,119879.522,114331.9361,98829.63223,107750.9036,107148.7456,112739.5362,113758.927,121618.8222,161172.7633,128400.6329,136135.6351,129262.1097,93515.22653,137284.5942,148273.9836,108271.7167,141012.252,143334.6155,136509.0514,118069.712,95537.81643,105077.611,113234.8392,111682.6488,119720.4935,113384.3398,132182.6805,124892.1142,142605.7235,174050.3304,131500.9933,132518.6641,122287.8391,116824.5196,115415.4526,135242.9618,173914.6284,121833.2951,120127.0706,114336.1237,127426.4739,140772.4396,127556.3356,153895.1258,137004.8843
Q9DCR2,Ap3s1,AP-3 complex subunit sigma-1 OS=Mus musculus GN=Ap3s1 PE=1 SV=2,182620.1956,237004.1933,186198.7519,182517.4497,138125.3082,167049.295,220079.7332,175000.071,139447.3272,220295.4539,193755.5736,214959.5097,165498.7037,203127.7886,218167.9432,152727.7047,166189.6882,257601.6863,175005.3025,175703.2835,166786.2091,153289.0714,191412.7282,150236.7023,151264.0008,231601.617,195605.8977,190888.8321,132505.7042,201570.2569,183996.1912,202900.9876,233444.9634,209930.8559,185665.2911,211854.0086,170786.423,233598.7064,238888.6911,227742.4517,159313.9269,201566.3716,212094.9678,160285.8346,195694.6934,202770.8496,245973.6048,194550.5229
Q8BSZ2,Ap3s2,AP-3 complex subunit sigma-2 OS=Mus musculus GN=Ap3s2 PE=1 SV=1,120344.4427,153422.8509,92813.35977,113631.1326,84305.52347,83214.68077,120502.3085,81205.02037,95224.72237,140778.3571,110200.5045,143678.5025,100429.9684,148218.2871,140456.0399,77036.91797,105384.9511,178455.3403,108097.9549,106315.1844,107825.1415,98700.39037,110914.2327,83930.09297,84594.89867,132308.2024,106309.2049,89735.24077,72273.55597,129235.0332,98165.12727,119593.849,172163.8318,120347.2987,108606.9882,111273.9264,98574.54497,169779.1818,148264.7262,156350.9534,94326.59507,130015.3927,124007.8687,105998.9791,134251.3802,115720.0465,153113.4718,125627.6142
B2RUJ5,Apba1,Amyloid beta A4 precursor protein-binding family A member 1 OS=Mus musculus GN=Apba1 PE=1 SV=2,37863.48538,32786.06058,14745.92404,43361.42358,19579.82982,28247.88109,28716.36667,41838.06025,20572.00959,30192.10138,28815.14538,66041.65333,31630.92883,21687.80213,28800.377,17661.84899,23606.37361,28737.2927,28817.99905,46892.50495,23182.59624,19408.76146,28160.34323,25744.69152,23584.17962,30133.34475,27418.88371,36036.903,16183.16079,35993.65411,32344.13297,47126.80923,41329.38324,16200.30753,28877.56514,24996.87073,24304.99855,31049.56834,33915.88349,63743.61195,17510.07957,31359.23607,32666.48796,39840.80935,21093.8938,20018.78939,37603.41946,42066.62806
